,product_id,review_id,noun,adj,rule,polarity_nltk,polarity_textblob
285,Lufthansa,1264127045572968449,industry,fcking,1,0.0,0.0
286,Lufthansa,1264127045572968449,industry,automotive,1,0.0,0.0
287,Lufthansa,1264126432420167681,center,based,1,0.0,0.0
288,Lufthansa,1264126432420167681,lufthansa,easily,4,0.34,0.43333333333333335
289,Lufthansa,1264124087787384832,at,present,1,0.0,0.0
290,Lufthansa,1264120783187689473,european,intra,1,0.0,0.0
291,Lufthansa,1264120783187689473,class,european,1,0.0,0.0
292,Lufthansa,1264120783187689473,surprise,pleasant,1,0.5106,0.7333333333333333
293,Lufthansa,1264119994687856640,flights,direct,1,0.0,0.1
294,Lufthansa,1264117453686177792,video,excellent,1,0.5719,1.0
295,Lufthansa,1264116805561393152,grannell,even better,4,0.4404,0.5
296,Lufthansa,1264116805561393152,grannell,possibility,7,0.0,0.0
297,Lufthansa,1264116486026780672,it,definitely,4,0.4019,0.0
298,Lufthansa,1264116486026780672,it,option,7,0.0,0.0
299,Lufthansa,1264115780477689856,it,long,3,0.0,-0.05
300,Lufthansa,1264110775943278593,lufthansa,honestly,4,0.4588,0.6
301,Lufthansa,1264109398168911872,de,maybe,4,0.0,0.0
302,Lufthansa,1264108281745850374,volume,high,1,0.0,0.16
303,Lufthansa,1264107970926960643,lufthansa,aerlingus,1,0.0,0.0
304,Lufthansa,1264107609331830786,terminal,lovely,1,0.5859,0.5
305,Lufthansa,1264107609331830786,terminal,new,1,0.0,0.13636363636363635
306,Lufthansa,1264107609331830786,one,old,1,0.0,0.1
307,Lufthansa,1264107609331830786,terminal,awful,3,-0.4588,-1.0
308,Lufthansa,1264107581905276928,compl,official,1,0.0,0.0
309,Lufthansa,1264105388435177475,italy,beautiful,1,0.5994,0.85
310,Lufthansa,1264104843414777857,politics,german,1,0.0,0.0
311,Lufthansa,1264103720985468935,dates,exact,1,0.0,0.25
312,Lufthansa,1264102973434667008,number,biggest,1,0.0,0.0
313,Lufthansa,1264102973434667008,planes,old,1,0.0,0.1
314,Lufthansa,1264102973434667008,for,sure,1,0.3182,0.5
315,Lufthansa,1264102806862073858,morning,good,1,0.4404,0.7
316,Lufthansa,1264102059705499651,trip,round,1,0.0,-0.2
317,Lufthansa,1264099826758754304,economy,basic,1,0.0,0.0
318,Lufthansa,1264099825051729920,economy,basic,1,0.0,0.0
319,Lufthansa,1264099825051729920,economy,regular,1,0.0,0.0
320,Lufthansa,1264087679576219648,contakt,correct,1,0.0,0.0
321,Lufthansa,1264087679576219648,colleagues,contakt,7,0.0,0.0
322,Lufthansa,1264086720263393281,these,clients,7,0.0,0.0
323,Lufthansa,1264078983865536512,ninja,soaring,1,0.0,0.0
324,Lufthansa,1264078983865536512,ninja,kindly,4,0.4939,0.6
325,Lufthansa,1264077816695578624,refund,partial,1,0.0,-0.1
326,Lufthansa,1264077198744530945,flights,canc,7,0.0,0.0
327,Lufthansa,1264072106058354688,man,fucking,1,0.0,-0.6
328,Lufthansa,1264072106058354688,man,fat,1,0.0,0.0
329,Lufthansa,1264066343298641920,refunds,habichucho1,1,0.0,0.0
330,Lufthansa,1264064601974550528,refunds,habichucho1,1,0.0,0.0
331,Lufthansa,1264064601974550528,companies,multi,1,0.0,0.0
332,Lufthansa,1264064601974550528,these,companies,7,0.0,0.0
333,Lufthansa,1264062711161409541,system,sophisticated,1,0.5574,0.5
334,Lufthansa,1264062711161409541,refunds,faster,1,0.0,0.0
335,Lufthansa,1264062711161409541,this,n,7,0.0,0.0
336,Lufthansa,1264061037915049984,iata,difficult,3,-0.3612,-0.5
337,Lufthansa,1264061037915049984,iata,it,7,0.0,0.0
338,Lufthansa,1264059160477327360,intentions,good,1,0.4404,0.7
339,Lufthansa,1264059160477327360,push,little,1,0.0,-0.1875
340,Lufthansa,1264054212318638080,tragedy,terrible,1,-0.4767,-1.0
341,Lufthansa,1264054212318638080,dismissal,mocking,1,-0.4019,0.0
342,Lufthansa,1264054212318638080,chief,politically foisted,1,0.0,0.0
343,Lufthansa,1264054212318638080,chief,previous,1,0.0,-0.16666666666666666
344,Lufthansa,1264054212318638080,wh,german,1,0.0,0.0
345,Lufthansa,1264054212318638080,it,tragedy,7,-0.6597,0.0
346,Lufthansa,1264053273411178496,greyhounds,irish,1,0.0,0.0
347,Lufthansa,1264045505153126404,democratic,social,1,0.0,0.03333333333333333
348,Lufthansa,1264045505153126404,spd coalition partners,democratic,1,0.0,0.0
